,AU: International Tourism: Expenditures
Country,Australia
Frequency,"Annual, ending ""Dec"" of each year"
Unit,USD mn
Source,World Bank
Status,Active
Series ID,274409702
SR Code,SR5346527
Function Information,
First Obs. Date,1995
Last Obs. Date,2015
Last Update Time,18/04/2017
Remarks,"International tourism expenditures are expenditures of international outbound visitors in other countries, including payments to foreign carriers for international transport. These expenditures may include those by residents traveling abroad as same-day visitors, except in cases where these are important enough to justify separate classification. For some countries they do not include expenditures for passenger transport items. Data are in current U.S. dollars.; ; World Tourism Organization, Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files.; Gap-filled total;"
Mean,29198.88888888889
Variance,26516324.111111112
Standard Deviation,5149.400364227967
Skewness,-0.15216426794869298
Kurtosis,-1.6058779781427908
Coefficient Variation,0.17635603819799725
Min,22052
Max,35226
Median,28300
No. of Obs,9
2007,22052
2008,25557
2009,22680
2010,27851
2011,33967
2012,35226
2013,35198
2014,31959
2015,28300