Country,Year,VisitorArrival,VisitorDeparted
Australia,2010,840126,7103000
Australia,2011,914334,7788000
Australia,2012,1003032,8212000
Australia,2013,1066504,8768000
Australia,2014,1013007,9114000
Australia,2015,986046,9459000
China,2010,916688,57386000
China,2011,1208311,70250000
China,2012,1518330,83183000
China,2013,1703260,98185000
China,2014,1451116,107276000
China,2015,1717374,116886000
Germany,2010,194594,85872000
Germany,2011,203315,84692000
Germany,2012,234189,82729000
Germany,2013,232887,87459000
Germany,2014,244570,83008000
Germany,2015,267765,83737000
Hong Kong,2010,336985,84442000
Hong Kong,2011,412169,84816000
Hong Kong,2012,409240,85276000
Hong Kong,2013,422407,84414000
Hong Kong,2014,497059,84519000
Hong Kong,2015,493564,89082000
India,2010,685772,12988000
India,2011,727910,13994000
India,2012,772281,14920000
India,2013,824430,16626000
India,2014,852866,18330000
India,2015,929403,20376000
Indonesia,2010,2087059,6235606
Indonesia,2011,2361772,6750416
Indonesia,2012,2578462,7453633
Indonesia,2013,2744772,8024876
Indonesia,2014,2697014,7899070
Indonesia,2015,2471378,7908534
Japan,2010,455227,16637000
Japan,2011,571662,16994000
Japan,2012,662226,18491000
Japan,2013,726195,17473000
Japan,2014,726915,16903000
Japan,2015,701334,16214000
South Korea,2010,310062,12488000
South Korea,2011,356292,12694000
South Korea,2012,384972,13737000
South Korea,2013,406024,14846000
South Korea,2014,462995,16081000
South Korea,2015,502636,19310000
Taiwan,2010,164032,9415074
Taiwan,2011,204286,9583873
Taiwan,2012,238603,10239760
Taiwan,2013,276585,11052908
Taiwan,2014,267424,11844635
Taiwan,2015,294557,13182976
Thailand,2010,331816,5451000
Thailand,2011,377420,5397000
Thailand,2012,379783,5721000
Thailand,2013,396327,5970000
Thailand,2014,422573,6444000
Thailand,2015,440082,6794000
UK,2010,426580,55562000
UK,2011,408178,56836000
UK,2012,413743,56538000
UK,2013,426695,57792000
UK,2014,420072,60082000
UK,2015,444833,65720000
USA,2010,383306,61061000
USA,2011,405539,59209000
USA,2012,440161,60697000
USA,2013,454178,61874000
USA,2014,449539,68176000
USA,2015,466232,73453000